seed,method,success,time_s,energy_j,path_length_m,failure_reason_raw,failure_bucket,energy_kj_per_km
0,astar,True,284.77154608516844,319116.87515956815,4271.5731912775245,goal_reached,goal_reached,74.70710692987751
0,teacher,True,348.0,349746.7156093628,3717.4514605140866,goal_reached,goal_reached,94.08238932620692
0,rl_residual,True,176.0,259093.62853418803,3758.0452073282067,goal_reached,goal_reached,68.9437231965582
1,astar,True,278.8141232616448,316821.0526850418,4182.211848924668,goal_reached,goal_reached,75.75442472300942
1,teacher,True,364.0,378032.327201921,3800.7038714590435,goal_reached,goal_reached,99.4637677617328
1,rl_residual,True,184.0,269616.21396621736,3772.876183163007,goal_reached,goal_reached,71.46171803077392
2,astar,True,168.42425295797892,139714.32223754658,2526.3637943696845,goal_reached,goal_reached,55.302535030353624
2,teacher,True,208.0,172704.0001300429,2547.139068523345,goal_reached,goal_reached,67.80312950488594
2,rl_residual,True,106.0,112374.13002284802,2588.8907908745405,goal_reached,goal_reached,43.40628442843178
3,astar,True,334.8933480702294,375421.6332716892,5023.400221053442,goal_reached,goal_reached,74.73456558334121
3,teacher,True,404.0,419907.3702719456,4409.921947832687,goal_reached,goal_reached,95.21877603260404
3,rl_residual,False,150.0,189482.81353864074,3256.060628529351,overload,overload,
4,astar,True,283.59150453490895,400556.9101683319,4253.872568023631,goal_reached,goal_reached,94.16288423384353
4,teacher,True,376.0,495485.7914730513,4285.579986078195,goal_reached,goal_reached,115.61697438448196
4,rl_residual,False,60.0,98767.70393313421,1292.1216301093048,overload,overload,
5,astar,True,351.05174431300736,325833.01867091394,5265.776164695109,goal_reached,goal_reached,61.87749127194049
5,teacher,True,432.0,398070.9208162315,4792.478273612702,goal_reached,goal_reached,83.06160155341816
5,rl_residual,True,216.0,249894.86680890247,4838.998236472966,goal_reached,goal_reached,51.64185945044797
6,astar,True,226.026401378155,229124.24028636984,3390.3960206723245,goal_reached,goal_reached,67.58037671390785
6,teacher,True,298.0,284240.4769505011,3279.539324911666,goal_reached,goal_reached,86.67085489458404
6,rl_residual,True,150.0,187935.656773129,3164.588593084201,goal_reached,goal_reached,59.38707394188239
7,astar,True,271.896581746382,232219.9494316536,4078.4487261957283,goal_reached,goal_reached,56.93830302195864
7,teacher,False,450.0,421446.88044314575,4777.88354208839,no_progress,other,
7,rl_residual,True,186.0,180112.30390338367,3876.88762050346,goal_reached,goal_reached,46.45796358677891
8,astar,True,320.29934867742094,346997.1954817164,4804.490230161313,goal_reached,goal_reached,72.22351984469866
8,teacher,True,408.0,426383.67350800475,4614.2239424172585,goal_reached,goal_reached,92.40636753417621
8,rl_residual,False,102.0,154714.61732132733,2196.2310182564956,overload,overload,
9,astar,True,159.7989121779518,186158.03067377664,2396.9836826692763,goal_reached,goal_reached,77.66345345599993
9,teacher,True,196.0,216545.98494661972,2217.627241171446,goal_reached,goal_reached,97.64760322489133
9,rl_residual,True,100.0,152278.79480395373,2146.462568595015,goal_reached,goal_reached,70.94407190321007
10,astar,True,313.12267237396287,404817.60849524516,4696.840085609445,goal_reached,goal_reached,86.189353079224
10,teacher,True,428.0,515168.3841572462,4774.806651683394,goal_reached,goal_reached,107.89303562179208
10,rl_residual,True,216.0,379062.3722133995,4699.525145446237,goal_reached,goal_reached,80.65971783994065
11,astar,True,204.9511522353662,284971.077929226,3074.267283530492,goal_reached,goal_reached,92.69560895237609
11,teacher,True,268.0,339244.28755667433,3111.5741543766717,goal_reached,goal_reached,109.02657970709161
11,rl_residual,True,136.0,261432.6139848968,2980.108995243828,goal_reached,goal_reached,87.72585647106737
12,astar,True,349.2490246874378,470053.9631868842,5238.735370311566,goal_reached,goal_reached,89.72660956511122
12,teacher,True,472.0,549097.3009574809,5181.981029232053,goal_reached,goal_reached,105.9628157378366
12,rl_residual,False,212.0,335055.7982985545,4443.232856847569,overload,overload,
13,astar,True,297.9855281019051,265954.66120373073,4469.782921528573,goal_reached,goal_reached,59.50057662146594
13,teacher,True,402.0,340175.9848218267,4034.5354327058585,goal_reached,goal_reached,84.3160236155565
13,rl_residual,True,202.0,210246.3026280459,4099.319181870868,goal_reached,goal_reached,51.28810256050679
14,astar,True,282.262899935965,274695.0194917145,4233.943499039475,goal_reached,goal_reached,64.8792360016218
14,teacher,True,386.0,368622.5967906499,4073.739938730887,goal_reached,goal_reached,90.48751327643386
14,rl_residual,True,194.0,240681.20223126514,4077.920457869443,goal_reached,goal_reached,59.020573039085676
15,astar,True,326.8641950148046,434760.55784742796,4902.9629252220675,goal_reached,goal_reached,88.67302577608957
15,teacher,True,414.0,522367.8278227763,4771.606317682661,goal_reached,goal_reached,109.47420911213503
15,rl_residual,True,208.0,412142.389665019,4705.3801723326005,goal_reached,goal_reached,87.58960478653681
16,astar,True,268.30652172233346,238136.21324736407,4024.5978258350005,goal_reached,goal_reached,59.17018881208507
16,teacher,True,340.0,297043.3249721327,3769.157215061947,goal_reached,goal_reached,78.8089506548351
16,rl_residual,True,174.0,196158.97228142153,3844.738843015673,goal_reached,goal_reached,51.02010313073998
17,astar,True,233.5519880214625,219783.78704611876,3503.2798203219354,goal_reached,goal_reached,62.73657781236602
17,teacher,True,312.0,290316.2338796747,3325.979076514169,goal_reached,goal_reached,87.28745046223924
17,rl_residual,True,158.0,193213.87811807822,3365.9313492955503,goal_reached,goal_reached,57.40279823547667
18,astar,True,245.20063715309368,203216.83153087806,3678.009557296403,goal_reached,goal_reached,55.251849775033435
18,teacher,True,330.0,272769.6251408276,3468.3872327037807,goal_reached,goal_reached,78.64451309497818
18,rl_residual,True,166.0,149908.48109017732,3409.9959832555874,goal_reached,goal_reached,43.96148318833409
19,astar,True,375.5647415012619,422752.48714457994,5633.471122518925,goal_reached,goal_reached,75.04298468038517
19,teacher,True,492.0,502563.9474255596,5201.490492054274,goal_reached,goal_reached,96.61921870149901
19,rl_residual,True,248.0,378402.5457764026,5318.483468912723,goal_reached,goal_reached,71.1485798514216
20,astar,True,358.7197078329773,387532.2970024679,5380.795617494656,goal_reached,goal_reached,72.02137463509648
20,teacher,False,408.0,388878.74330529897,4585.933180464435,overload,overload,
20,rl_residual,False,198.0,242248.9367800043,4357.318463081326,overload,overload,
21,astar,True,263.1590639014142,255256.33459978682,3947.3859585212144,goal_reached,goal_reached,64.66465080486124
21,teacher,True,338.0,315142.2351541766,3612.118205232445,goal_reached,goal_reached,87.24582564813844
21,rl_residual,True,172.0,220481.76501128683,3673.0513411389197,goal_reached,goal_reached,60.02686718310913
22,astar,True,278.7637332837928,247185.12684254182,4181.45599925689,goal_reached,goal_reached,59.11460670313653
22,teacher,True,350.0,309788.4508732776,3820.480663891245,goal_reached,goal_reached,81.08625016773443
22,rl_residual,True,176.0,208560.6754533751,3920.6198598388933,goal_reached,goal_reached,53.1958422161197
23,astar,True,243.88518350569439,215846.8542611012,3658.2777525854153,goal_reached,goal_reached,59.00231443841455
23,teacher,True,314.0,272157.2291579824,3382.7189867598745,goal_reached,goal_reached,80.45516941348629
23,rl_residual,True,158.0,165211.68551691156,3389.4198008157714,goal_reached,goal_reached,48.74335291165412
24,astar,True,420.7289424989149,461721.3288126135,6310.934137483725,goal_reached,goal_reached,73.1621212888635
24,teacher,False,450.0,519863.27260417957,5706.560336054157,no_progress,other,
24,rl_residual,False,236.0,333524.65095276944,5432.955347294902,overload,overload,
25,astar,True,277.0123778204792,263286.02908230765,4155.185667307187,goal_reached,goal_reached,63.36324057763056
25,teacher,True,362.0,326287.3384940098,3784.8700466627297,goal_reached,goal_reached,86.20833330373134
25,rl_residual,True,182.0,211208.95559776435,3772.5310249527283,goal_reached,goal_reached,55.9860089157016
