planner_time_mode,success,failure_reason,mission_time_s,energy_j,path_length_m,nearest_risk_value
4d,True,goal_reached,1217.967892608992,1407752.747595342,243.0,0.0
frozen_3d,True,goal_reached,1213.4690527680173,1401221.2578869916,241.0,0.0
