route_name,model,route_length_m,avg_relative_airspeed,peak_relative_airspeed,mean_power,peak_power,total_energy_j,energy_per_km,mean_wind_speed_along_route
Route A,Baseline,17955.718136619453,11.946890178690412,14.569058568007012,1152.564200094697,2138.607126856321,1379674.5274172432,76.8376133396465,4.523318560430296
Route A,Full,17955.718136619453,14.475291524419076,36.999339350414104,1236.6578324915927,3201.0797114863244,1480338.6314441194,82.44385549943951,7.199193755883741
Route B,Baseline,17899.2710439978,11.846394932717736,14.81849101691895,1095.994816636881,2165.437004968352,1307833.8857200136,73.0663211091254,4.627736826139317
Route B,Full,17899.2710439978,14.406684377310588,27.648496082632718,1151.1215199848496,2530.8590185048374,1373615.7393858368,76.74143466565664,8.584285569546475
Route C,Baseline,17096.916176061477,11.732848111988144,13.086701680264156,1072.0435212526565,1854.9779425779493,1221909.2146630967,71.46956808351044,4.507546415171779
Route C,Full,17096.916176061477,13.174106724924265,20.33925715042321,1099.372904385205,1966.7521974373717,1253059.0928338065,73.29152695901367,6.692402536574603
