variant,success_rate_mean,success_rate_std,storm_risk_fail_rate_mean,storm_risk_fail_rate_std,max_p_crash_mean,max_p_crash_max
full,0.91,0.014142135623730963,0.0,0.0,2.037594397672482e-06,0.0001085722783600307
no_future,0.8600000000000001,0.08485281374238574,0.0,0.0,2.153549285774936e-06,0.00012937216421105013
no_radar,0.88,0.05656854249492385,0.0,0.0,1.995296677681502e-06,0.00010210214443617804
