variant,seed,success_rate,storm_risk_fail_rate,max_p_crash_mean,max_p_crash_max,mean_reward,mean_length
full,11,0.92,0.0,2.172033331448997e-06,0.0001085722783600307,57.896164459834225,111.8
full,22,0.9,0.0,1.9031554638959668e-06,9.171204969660174e-05,55.779567778311275,104.34
no_future,11,0.92,0.0,2.588356066639541e-06,0.00012937216421105013,57.9314888940128,108.4
no_future,22,0.8,0.0,1.718742504910331e-06,8.454701298599154e-05,50.62635039094396,87.58
no_radar,11,0.92,0.0,1.9227188339066004e-06,9.610386322245201e-05,58.407069061647526,107.86
no_radar,22,0.84,0.0,2.0678745214564033e-06,0.00010210214443617804,53.67474544278507,90.78
